[일시]종근당홀딩스,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2019/04/25,77500,79300,77200,77700,▲300,＋0.39%,N/A,74210,13863
2019/04/24,77500,80000,76300,77400,0.0,0.00%,N/A,73590,46633
2019/04/23,76500,77500,76100,77400,▲900,＋1.18%,N/A,73010,14300
2019/04/22,76000,76600,75000,76500,▲500,＋0.66%,N/A,72430,11856
2019/04/19,75700,76700,75300,76000,▲900,＋1.20%,N/A,71830,11614
2019/04/18,71300,76000,71200,75100,▲4200,＋5.92%,N/A,71240,38108
2019/04/17,70100,71100,69500,70900,▲900,＋1.29%,N/A,70730,4946
2019/04/16,69900,71500,69800,70000,▼100,－0.14%,N/A,70620,4826
2019/04/15,71500,71500,69700,70100,▼900,－1.27%,N/A,70600,10412
2019/04/12,71000,71700,70700,71000,▼500,－0.70%,N/A,70570,4547
2019/04/11,71900,71900,71200,71500,▼100,－0.14%,N/A,70310,5412
2019/04/10,71300,72000,70700,71600,0.0,0.00%,N/A,69960,6066
2019/04/09,70100,71900,70100,71600,▲1100,＋1.56%,N/A,69770,13930
2019/04/08,70200,71100,69400,70500,▲400,＋0.57%,N/A,69440,8727
2019/04/05,69700,71600,69500,70100,▲100,＋0.14%,N/A,69110,6727
2019/04/04,69000,70600,68800,70000,▲200,＋0.29%,N/A,69080,5671
2019/04/03,69200,70100,68600,69800,0.0,0.00%,N/A,68920,6719
2019/04/02,69600,70100,69300,69800,0.0,0.00%,N/A,68810,4378
2019/04/01,68200,70000,68200,69800,▲1400,＋2.05%,N/A,68840,3989
2019/03/29,67900,69300,67600,68400,▲400,＋0.59%,N/A,68950,6841
2019/03/28,68900,70000,68000,68000,▼1700,－2.44%,N/A,69080,9291
2019/03/27,68900,69900,68300,69700,▲1400,＋2.05%,N/A,69350,4848
2019/03/26,68000,70300,67200,68300,▲1100,＋1.64%,N/A,69330,8711
2019/03/25,69300,69300,67100,67200,▼2600,－3.72%,N/A,69440,11042
2019/03/22,69200,70000,67100,69800,▲1400,＋2.05%,N/A,69640,10626
2019/03/21,68800,69600,68400,68400,▼300,－0.44%,N/A,69450,9791
2019/03/20,70900,70900,68000,68700,▼1400,－2.00%,N/A,69310,11381
2019/03/19,71000,71700,70000,70100,▼800,－1.13%,N/A,69210,8836
2019/03/18,69700,71000,69200,70900,▲1200,＋1.72%,N/A,68950,11093
2019/03/15,70000,70500,68700,69700,▼1000,－1.41%,N/A,68520,10368
2019/03/14,69900,70800,69500,70700,▲1200,＋1.73%,N/A,68280,8095
2019/03/13,68700,70200,68600,69500,▲100,＋0.14%,N/A,67890,8143
2019/03/12,69200,69400,68100,69400,▲200,＋0.29%,N/A,67570,6935
2019/03/11,67100,69400,66700,69200,▲1300,＋1.91%,N/A,67330,7052
2019/03/08,66900,68300,66700,67900,▲900,＋1.34%,N/A,67050,6856
2019/03/07,67700,67700,66800,67000,▼700,－1.03%,N/A,66860,4174
2019/03/06,67500,67700,66700,67700,▲200,＋0.30%,N/A,66790,3068
2019/03/05,66500,67700,65800,67500,▲900,＋1.35%,N/A,66650,6148
2019/03/04,67400,68200,66600,66600,▼700,－1.04%,N/A,66620,11387
2019/02/28,67000,68600,67000,67300,▲500,＋0.75%,N/A,66650,10990
2019/02/27,66300,67300,65800,66800,▲500,＋0.75%,N/A,66440,6792
2019/02/26,67200,67700,66100,66300,▼700,－1.04%,N/A,66190,3862
2019/02/25,66600,68700,65700,67000,▲600,＋0.90%,N/A,65990,12891
2019/02/22,65700,66700,64200,66400,▲400,＋0.61%,N/A,65690,10897
2019/02/21,66300,66600,63000,66000,▼300,－0.45%,N/A,65370,3022
2019/02/20,65800,67300,65300,66300,0.0,0.00%,N/A,65010,6062
2019/02/19,67400,67400,65900,66300,▼900,－1.34%,N/A,64620,4158
2019/02/18,66900,68000,66600,67200,▲300,＋0.45%,N/A,64380,5553
2019/02/15,64700,67200,64700,66900,▲1700,＋2.61%,N/A,63800,14443
2019/02/14,64000,65700,63900,65200,▲900,＋1.40%,N/A,63280,3843
2019/02/13,64400,64900,63900,64300,0.0,0.00%,N/A,63000,6384
2019/02/12,64100,65300,64000,64300,▲300,＋0.47%,N/A,62790,6127
2019/02/11,63600,65800,63600,64000,▲800,＋1.27%,N/A,62530,5009
2019/02/08,62900,63500,62500,63200,▲800,＋1.28%,N/A,62200,5017
2019/02/07,62200,63500,61900,62400,0.0,0.00%,N/A,61860,2245
2019/02/01,63900,64200,62000,62400,▼1500,－2.35%,N/A,61630,6459
2019/01/31,62000,64000,60900,63900,▲2500,＋4.07%,N/A,61440,9404
2019/01/30,61400,61800,61000,61400,▼300,－0.49%,N/A,61030,3095
2019/01/29,61700,62500,61200,61700,▼700,－1.12%,N/A,60920,3761
2019/01/28,62200,62600,61600,62400,▲200,＋0.32%,N/A,60900,3331
2019/01/25,62400,62700,61400,62200,▲500,＋0.81%,N/A,60780,5181
2019/01/24,61500,62000,60800,61700,▲1000,＋1.65%,N/A,60700,2961
2019/01/23,59200,62100,59200,60700,▲900,＋1.51%,N/A,60530,6412
2019/01/22,60300,60300,59800,59800,▼300,－0.50%,N/A,60420,2642
2019/01/21,60200,60700,59400,60100,▼400,－0.66%,N/A,60400,6354
2019/01/18,59800,61200,59800,60500,▲700,＋1.17%,N/A,60290,3724
2019/01/17,60000,60600,59700,59800,▼500,－0.83%,N/A,60080,4856
2019/01/16,61000,61500,59900,60300,▼1200,－1.95%,N/A,59960,3987
2019/01/15,61200,62400,61100,61500,▲300,＋0.49%,N/A,59940,3733
2019/01/14,61100,61200,60600,61200,▼200,－0.33%,N/A,60040,885
2019/01/11,60000,61600,59700,61400,▲1400,＋2.33%,N/A,60100,6910
2019/01/10,59600,60300,59500,60000,▲400,＋0.67%,N/A,60160,2792
2019/01/09,59700,60000,59500,59600,0.0,0.00%,N/A,60280,1127
2019/01/08,59100,59800,58800,59600,▲600,＋1.02%,N/A,60380,728
2019/01/07,58800,60000,58800,59000,▲600,＋1.03%,N/A,60320,3288
2019/01/04,58600,59800,57800,58400,▼200,－0.34%,N/A,60320,3773
2019/01/03,60600,60600,58600,58600,▼1500,－2.50%,N/A,60290,4058
2019/01/02,62400,62700,59800,60100,▼2400,－3.84%,N/A,60370,6272
2018/12/28,61500,62600,61300,62500,▲700,＋1.13%,N/A,N/A,2549
2018/12/27,62400,62400,61000,61800,▼200,－0.32%,N/A,N/A,3959
2018/12/26,61100,62000,60400,62000,▲800,＋1.31%,N/A,N/A,4975
2018/12/24,60500,61600,59800,61200,▲600,＋0.99%,N/A,N/A,3868
2018/12/21,58900,60600,58300,60600,▲1600,＋2.71%,N/A,N/A,6516
2018/12/20,59000,59700,58200,59000,0.0,0.00%,N/A,N/A,1957
2018/12/19,58700,59900,58100,59000,▲900,＋1.55%,N/A,N/A,3355
2018/12/18,58900,59600,58100,58100,▼1300,－2.19%,N/A,N/A,9452
2018/12/17,61300,61300,58700,59400,0.0,0.00%,N/A,N/A,10875
