[일시]파수,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2019-05-16,4185,4185,4005,4100,▼85,-2.03%,N/A,4239,19803
2019-05-15,4110,4195,4075,4185,▲75,1.82%,N/A,4257,8546
2019-05-14,4025,4110,4025,4110,▼35,-0.84%,N/A,4260,4259
2019-05-13,4135,4285,4100,4145,▲10,0.24%,N/A,4270,8339
2019-05-10,4290,4330,4115,4135,▼195,-4.50%,N/A,4290,20355
2019-05-09,4300,4370,4250,4330,▼20,-0.46%,N/A,4318,21131
2019-05-08,4325,4510,4310,4350,▼5,-0.11%,N/A,4315,39011
2019-05-07,4280,4400,4235,4355,▲5,0.11%,N/A,4313,14760
2019-05-03,4325,4445,4265,4350,▲25,0.58%,N/A,4323,14671
2019-05-02,4280,4375,4260,4325,▲45,1.05%,N/A,4331,24486
2019-04-30,4220,4300,4215,4280,▲60,1.42%,N/A,4355,9712
2019-04-29,4210,4300,4195,4220,▲10,0.24%,N/A,4363,6404
2019-04-26,4300,4335,4170,4210,▼130,-3.00%,N/A,4384,31916
2019-04-25,4415,4415,4290,4340,▼80,-1.81%,N/A,4390,12138
2019-04-24,4300,4430,4295,4420,▲120,2.79%,N/A,4382,13787
2019-04-23,4330,4390,4200,4300,▼30,-0.69%,N/A,4355,23579
2019-04-22,4495,4560,4330,4330,▼120,-2.70%,N/A,4344,21716
2019-04-19,4430,4550,4375,4450,▲20,0.45%,N/A,4334,19138
2019-04-18,4670,4670,4430,4430,▼140,-3.06%,N/A,4315,41481
2019-04-17,4380,4570,4360,4570,▲210,4.82%,N/A,4302,68343
2019-04-16,4465,4525,4360,4360,▼70,-1.58%,N/A,4279,68041
2019-04-15,4340,4435,4185,4430,▲160,3.75%,N/A,4254,46756
2019-04-12,4260,4395,4150,4270,▲10,0.23%,N/A,4213,97475
2019-04-11,4160,4260,4110,4260,▲110,2.65%,N/A,4182,24631
2019-04-10,4185,4200,4075,4150,▼35,-0.84%,N/A,4145,14949
2019-04-09,4230,4250,4065,4185,▼45,-1.06%,N/A,4119,18149
2019-04-08,4260,4305,4200,4230,▼30,-0.70%,N/A,4085,13177
2019-04-05,4220,4300,4200,4260,▼40,-0.93%,N/A,4046,12792
2019-04-04,4345,4365,4245,4300,▼40,-0.92%,N/A,4007,45312
2019-04-03,4120,4340,4100,4340,▲230,5.60%,N/A,3979,130270
2019-04-02,4075,4120,4000,4110,▲90,2.24%,N/A,3953,25535
2019-04-01,3990,4020,3930,4020,▲55,1.39%,N/A,3941,16288
2019-03-29,3885,3985,3830,3965,▲80,2.06%,N/A,3924,19405
2019-03-28,3975,3975,3810,3885,▼10,-0.26%,N/A,3907,15259
2019-03-27,3900,3915,3835,3895,▲50,1.30%,N/A,3897,6505
2019-03-26,3895,3900,3810,3845,▲10,0.26%,N/A,3883,18195
2019-03-25,3805,3985,3805,3835,▼40,-1.03%,N/A,3882,6030
2019-03-22,3955,3990,3875,3875,▼145,-3.61%,N/A,3879,13626
2019-03-21,4085,4100,3985,4020,▼60,-1.47%,N/A,3882,12836
2019-03-20,4140,4140,3965,4080,▲90,2.26%,N/A,3873,31513
2019-03-19,3905,4150,3800,3990,▲140,3.64%,N/A,3866,78647
2019-03-18,3790,3850,3760,3850,▲60,1.58%,N/A,3859,16365
2019-03-15,3790,3835,3735,3790,0,0.00%,N/A,3869,7839
2019-03-14,3750,3800,3745,3790,▲40,1.07%,N/A,3870,20056
2019-03-13,3750,3865,3670,3750,▼85,-2.22%,N/A,3896,17152
2019-03-12,3810,3955,3785,3835,▲25,0.66%,N/A,3923,18360
2019-03-11,3900,4020,3810,3810,▼90,-2.31%,N/A,3943,14285
2019-03-08,3900,4095,3855,3900,▼30,-0.76%,N/A,3973,7094
2019-03-07,4115,4115,3865,3930,▼80,-2.00%,N/A,4013,7791
2019-03-06,3925,4095,3850,4010,▲85,2.17%,N/A,4047,27311
2019-03-05,3895,4050,3895,3925,▼25,-0.63%,N/A,4058,14767
2019-03-04,3800,4020,3800,3950,▲150,3.95%,N/A,4106,14000
2019-02-28,3960,4100,3800,3800,▼250,-6.17%,N/A,4085,25727
2019-02-27,3955,4090,3900,4050,▲30,0.75%,N/A,4075,30101
2019-02-26,4090,4450,4020,4020,▼10,-0.25%,N/A,4048,150567
2019-02-25,4105,4105,3955,4030,▼85,-2.07%,N/A,3980,41894
2019-02-22,4210,4330,4045,4115,▼185,-4.30%,N/A,3912,58379
2019-02-21,4245,4680,4125,4300,▲35,0.82%,N/A,3831,391201
2019-02-20,4095,4265,4020,4265,▲140,3.39%,N/A,3735,115755
2019-02-19,4335,4335,4105,4125,▼275,-6.25%,N/A,3644,201761
2019-02-18,3745,4800,3745,4400,▲655,17.49%,N/A,3566,1646304
2019-02-15,3680,3795,3650,3745,▲45,1.22%,N/A,3464,24511
2019-02-14,3850,3900,3525,3700,▼80,-2.12%,N/A,3424,39978
2019-02-13,3305,4100,3285,3780,▲445,13.34%,N/A,3388,216532
2019-02-12,3400,3400,3290,3335,▼15,-0.45%,N/A,3346,10137
2019-02-11,3270,3350,3210,3350,▲45,1.36%,N/A,3347,7332
2019-02-08,3330,3370,3295,3305,▼40,-1.20%,N/A,3347,7623
2019-02-07,3285,3495,3285,3345,▼5,-0.15%,N/A,3356,5370
2019-02-01,3345,3360,3290,3350,▲5,0.15%,N/A,3361,4481
2019-01-31,3380,3380,3295,3345,▼35,-1.04%,N/A,3361,7218
2019-01-30,3345,3395,3290,3380,▲35,1.05%,N/A,3363,5650
2019-01-29,3340,3390,3295,3345,0,0.00%,N/A,3364,5006
2019-01-28,3360,3400,3300,3345,▼15,-0.45%,N/A,3369,11296
2019-01-25,3340,3495,3270,3360,▲15,0.45%,N/A,3377,12809
2019-01-24,3305,3375,3305,3345,▼5,-0.15%,N/A,3385,2211
2019-01-23,3340,3495,3315,3350,▼40,-1.18%,N/A,3394,10840
2019-01-22,3395,3395,3350,3390,▼5,-0.15%,N/A,3397,5082
2019-01-21,3500,3500,3250,3395,▲40,1.19%,N/A,3385,7372
2019-01-18,3300,3400,3215,3355,▼10,-0.30%,N/A,3370,4432
2019-01-17,3390,3390,3295,3365,▼25,-0.74%,N/A,3351,8704
2019-01-16,3390,3495,3340,3390,0,0.00%,N/A,3329,5130
2019-01-15,3360,3430,3360,3390,▼40,-1.17%,N/A,3306,3884
2019-01-14,3435,3435,3390,3430,▼5,-0.15%,N/A,3291,904
2019-01-11,3500,3500,3380,3435,0,0.00%,N/A,3278,1629
2019-01-10,3460,3460,3345,3435,▲55,1.63%,N/A,3265,3490
2019-01-09,3490,3490,3300,3380,▲110,3.36%,N/A,3248,4366
2019-01-08,3230,3500,3230,3270,▲25,0.77%,N/A,3240,2691
2019-01-07,3375,3375,3165,3245,▲75,2.37%,N/A,3243,4470
2019-01-04,3140,3295,3085,3170,▲30,0.96%,N/A,3248,3139
2019-01-03,3160,3190,3080,3140,▼20,-0.63%,N/A,3261,5444
2019-01-02,3205,3270,3050,3160,▼85,-2.62%,N/A,3278,35871
2018-12-28,3320,3320,3175,3245,▼55,-1.67%,N/A,N/A,11597
2018-12-27,3270,3340,3145,3300,0,0.00%,N/A,N/A,3541
2018-12-26,3265,3345,3220,3300,▲35,1.07%,N/A,N/A,429
2018-12-24,3300,3345,3250,3265,▼35,-1.06%,N/A,N/A,678
2018-12-21,3295,3300,3255,3300,0,0.00%,N/A,N/A,1901
2018-12-20,3270,3330,3235,3300,0,0.00%,N/A,N/A,4063
2018-12-19,3330,3340,3250,3300,▲5,0.15%,N/A,N/A,5976
2018-12-18,3280,3365,3200,3295,▼15,-0.45%,N/A,N/A,5506
2018-12-17,3405,3405,3240,3310,0,0.00%,N/A,N/A,4318
