[일시]금호전기,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2019-04-10,4995,5050,4935,5030,▲30,0.60%,N/A,4990,56582
2019-04-09,5000,5050,4875,5000,▲10,0.20%,N/A,5002,82756
2019-04-08,5040,5090,4980,4990,▼110,-2.16%,N/A,5012,81743
2019-04-05,5340,5350,5050,5100,▼260,-4.85%,N/A,5040,250257
2019-04-04,5650,6220,5340,5360,▲570,11.90%,N/A,5060,2383094
2019-04-03,4775,4970,4770,4790,▲10,0.21%,N/A,5082,114774
2019-04-02,4865,4865,4775,4780,▼105,-2.15%,N/A,5165,28713
2019-04-01,4925,4930,4785,4885,▼45,-0.91%,N/A,5280,39627
2019-03-29,5000,5020,4780,4930,▼100,-1.99%,N/A,5393,43260
2019-03-28,5140,5150,4975,5030,▼120,-2.33%,N/A,5501,37029
2019-03-27,5100,5270,5040,5150,▲50,0.98%,N/A,5594,20818
2019-03-26,5270,5270,5000,5100,▼170,-3.23%,N/A,5682,53806
2019-03-25,5350,5380,5210,5270,▼30,-0.57%,N/A,5780,24057
2019-03-22,5600,5600,5190,5300,▼280,-5.02%,N/A,5866,79153
2019-03-21,5620,5650,5470,5580,▼40,-0.71%,N/A,5951,15280
2019-03-20,5850,5900,5270,5620,▼310,-5.23%,N/A,5996,106954
2019-03-19,6020,6020,5900,5930,▼90,-1.50%,N/A,6037,8912
2019-03-18,6010,6090,5920,6020,▲10,0.17%,N/A,6052,6620
2019-03-15,5960,6040,5910,6010,▲50,0.84%,N/A,6058,16755
2019-03-14,6030,6080,5950,5960,▼70,-1.16%,N/A,6054,10600
2019-03-13,6080,6080,5950,6030,▼50,-0.82%,N/A,6071,9881
2019-03-12,6130,6140,6010,6080,▼50,-0.82%,N/A,6080,14505
2019-03-11,6200,6240,5960,6130,▼20,-0.33%,N/A,6089,30044
2019-03-08,6350,6410,6040,6150,▲120,1.99%,N/A,6090,105795
2019-03-07,6100,6100,5970,6030,0,0.00%,N/A,6094,26339
2019-03-06,6080,6080,5860,6030,▼50,-0.82%,N/A,6113,10331
2019-03-05,6110,6130,6050,6080,0,0.00%,N/A,6132,10088
2019-03-04,6000,6130,5940,6080,▲110,1.84%,N/A,6146,8334
2019-02-28,6150,6220,5970,5970,▼160,-2.61%,N/A,6158,20615
2019-02-27,6160,6160,6090,6130,▲10,0.16%,N/A,6186,7278
2019-02-26,6170,6170,6110,6120,▼50,-0.81%,N/A,6200,6922
2019-02-25,6190,6190,6070,6170,▲30,0.49%,N/A,6206,8082
2019-02-22,6190,6190,6090,6140,▼50,-0.81%,N/A,6214,23175
2019-02-21,6220,6220,6130,6190,▼30,-0.48%,N/A,6232,17145
2019-02-20,6240,6240,6180,6220,0,0.00%,N/A,6248,6832
2019-02-19,6250,6270,6120,6220,0,0.00%,N/A,6258,13707
2019-02-18,6210,6270,6150,6220,▲20,0.32%,N/A,6262,16064
2019-02-15,6200,6270,6150,6200,▼50,-0.80%,N/A,6265,6796
2019-02-14,6240,6300,6160,6250,▼20,-0.32%,N/A,6273,6055
2019-02-13,6260,6290,6100,6270,▲90,1.46%,N/A,6276,13705
2019-02-12,6250,6300,6180,6180,▼70,-1.12%,N/A,6277,7323
2019-02-11,6340,6340,6250,6250,▼70,-1.11%,N/A,6286,11271
2019-02-08,6340,6340,6260,6320,▼30,-0.47%,N/A,6283,12784
2019-02-07,6320,6350,6250,6350,▲30,0.47%,N/A,6271,14791
2019-02-01,6300,6320,6260,6320,▲60,0.96%,N/A,6258,9183
2019-01-31,6230,6290,6230,6260,▲10,0.16%,N/A,6253,5525
2019-01-30,6280,6290,6200,6250,▼30,-0.48%,N/A,6254,11075
2019-01-29,6290,6300,6210,6280,0,0.00%,N/A,6258,11774
2019-01-28,6320,6330,6230,6280,0,0.00%,N/A,6254,17453
2019-01-25,6280,6310,6250,6280,▲10,0.16%,N/A,6249,20029
2019-01-24,6220,6290,6150,6270,▲50,0.80%,N/A,6239,31361
2019-01-23,6190,6220,6070,6220,▲20,0.32%,N/A,6241,27655
2019-01-22,6160,6220,6160,6200,▼20,-0.32%,N/A,6247,16317
2019-01-21,6260,6270,6150,6220,▼50,-0.80%,N/A,6246,41543
2019-01-18,6270,6350,6210,6270,0,0.00%,N/A,6242,26721
2019-01-17,6290,6310,6230,6270,▼20,-0.32%,N/A,6230,21386
2019-01-16,6240,6320,6180,6290,▲50,0.80%,N/A,6245,17301
2019-01-15,6230,6300,6180,6240,▲10,0.16%,N/A,6270,17911
2019-01-14,6160,6240,6150,6230,▲50,0.81%,N/A,6307,28778
2019-01-11,6300,6320,6100,6180,▼110,-1.75%,N/A,6342,36007
2019-01-10,6250,6300,6190,6290,▲10,0.16%,N/A,6384,11537
2019-01-09,6190,6280,6180,6280,▲90,1.45%,N/A,6424,16329
2019-01-08,6180,6250,6100,6190,▲10,0.16%,N/A,6466,10858
2019-01-07,6190,6260,6140,6180,▲30,0.49%,N/A,6523,22164
2019-01-04,6420,6420,5960,6150,▼270,-4.21%,N/A,6585,62218
2019-01-03,6490,6530,6380,6420,▼120,-1.83%,N/A,6650,9784
2019-01-02,6670,6670,6460,6540,▼70,-1.06%,N/A,6686,4659
2018-12-28,6580,6640,6490,6610,▲30,0.46%,N/A,N/A,13059
2018-12-27,6650,6650,6490,6580,▼20,-0.30%,N/A,N/A,8334
2018-12-26,6390,6600,6390,6600,▼90,-1.35%,N/A,N/A,9519
2018-12-24,6860,6860,6600,6690,▼10,-0.15%,N/A,N/A,2431
2018-12-21,6820,6820,6610,6700,▼60,-0.89%,N/A,N/A,5352
2018-12-20,6800,6880,6670,6760,▼40,-0.59%,N/A,N/A,6842
2018-12-19,6800,6980,6620,6800,0,0.00%,N/A,N/A,6906
2018-12-18,6900,6900,6720,6800,▲20,0.29%,N/A,N/A,11234
2018-12-17,7080,7120,6780,6780,0,0.00%,N/A,N/A,22063
