[일시]제이씨현시스템,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2019/04/24,5480,5650,5370,5630,▲90,＋1.62%,N/A,5596,216472
2019/04/23,5530,5600,5480,5540,▲20,＋0.36%,N/A,5606,48771
2019/04/22,5500,5600,5500,5520,▼30,－0.54%,N/A,5620,58909
2019/04/19,5490,5600,5490,5550,▲60,＋1.09%,N/A,5641,67844
2019/04/18,5600,5670,5470,5490,▼110,－1.96%,N/A,5669,90193
2019/04/17,5660,5690,5590,5600,▼60,－1.06%,N/A,5691,90104
2019/04/16,5570,5740,5460,5660,▲100,＋1.80%,N/A,5696,216620
2019/04/15,5700,5710,5560,5560,▼130,－2.28%,N/A,5690,157709
2019/04/12,5770,5770,5660,5690,▼30,－0.52%,N/A,5672,90055
2019/04/11,5730,5770,5660,5720,▼10,－0.17%,N/A,5645,109622
2019/04/10,5680,5730,5620,5730,▲50,＋0.88%,N/A,5619,75907
2019/04/09,5760,5760,5600,5680,▼50,－0.87%,N/A,5609,174290
2019/04/08,5840,5870,5730,5730,▼100,－1.72%,N/A,5587,209377
2019/04/05,5710,5930,5620,5830,▲120,＋2.10%,N/A,5554,543154
2019/04/04,5650,5760,5590,5710,▲60,＋1.06%,N/A,5517,302881
2019/04/03,5610,5670,5530,5650,▲50,＋0.89%,N/A,5501,222478
2019/04/02,5400,5650,5320,5600,▲220,＋4.09%,N/A,5469,263197
2019/04/01,5430,5560,5340,5380,▼40,－0.74%,N/A,5450,108234
2019/03/29,5470,5520,5300,5420,▼40,－0.73%,N/A,5454,69063
2019/03/28,5630,5630,5400,5460,▼170,－3.02%,N/A,5419,190425
2019/03/27,5530,5750,5460,5630,▲170,＋3.11%,N/A,5389,318119
2019/03/26,5400,5570,5330,5460,▲60,＋1.11%,N/A,5336,134627
2019/03/25,5310,5540,5240,5400,▼60,－1.10%,N/A,5299,178981
2019/03/22,5990,5990,5460,5460,▼90,－1.62%,N/A,5256,877096
2019/03/21,5320,5550,5290,5550,▲220,＋4.13%,N/A,5223,195873
2019/03/20,5430,5470,5260,5330,▼80,－1.48%,N/A,5182,110878
2019/03/19,5520,5570,5330,5410,▼10,－0.18%,N/A,5167,211778
2019/03/18,5120,5480,5120,5420,▲350,＋6.90%,N/A,5143,278849
2019/03/15,5200,5230,5050,5070,▼90,－1.74%,N/A,5120,70548
2019/03/14,5110,5190,5050,5160,▲60,＋1.18%,N/A,5130,53972
2019/03/13,5060,5160,5060,5100,▲10,＋0.20%,N/A,5161,51454
2019/03/12,5100,5100,5000,5090,▲120,＋2.41%,N/A,5203,49198
2019/03/11,5130,5160,4960,4970,▼160,－3.12%,N/A,5249,84791
2019/03/08,5170,5280,5120,5130,▼10,－0.19%,N/A,5306,69164
2019/03/07,5160,5260,5120,5140,▼40,－0.77%,N/A,5344,83525
2019/03/06,5180,5240,5150,5180,▲10,＋0.19%,N/A,5389,50955
2019/03/05,5200,5260,5110,5170,▼20,－0.39%,N/A,5423,46729
2019/03/04,5230,5370,5180,5190,▲20,＋0.39%,N/A,5461,81542
2019/02/28,5480,5480,5120,5170,▼300,－5.48%,N/A,5495,141341
2019/02/27,5520,5540,5420,5470,▼50,－0.91%,N/A,5534,62638
2019/02/26,5550,5590,5500,5520,▼30,－0.54%,N/A,5536,48684
2019/02/25,5550,5580,5500,5550,▲10,＋0.18%,N/A,5524,70833
2019/02/22,5510,5570,5500,5540,▲30,＋0.54%,N/A,5492,60878
2019/02/21,5600,5610,5490,5510,▼80,－1.43%,N/A,5467,84335
2019/02/20,5520,5610,5470,5590,▲70,＋1.27%,N/A,5448,67838
2019/02/19,5550,5550,5400,5520,▼30,－0.54%,N/A,5405,51260
2019/02/18,5520,5570,5490,5550,▲20,＋0.36%,N/A,5370,55051
2019/02/15,5550,5570,5450,5530,▼30,－0.54%,N/A,5337,88670
2019/02/14,5520,5570,5460,5560,▲70,＋1.28%,N/A,5311,91797
2019/02/13,5400,5520,5390,5490,▲90,＋1.67%,N/A,5290,114077
2019/02/12,5210,5470,5210,5400,▲170,＋3.25%,N/A,5268,148679
2019/02/11,5270,5270,5180,5230,▼60,－1.13%,N/A,5247,46266
2019/02/08,5310,5320,5260,5290,▼30,－0.56%,N/A,5232,62309
2019/02/07,5220,5320,5130,5320,▲160,＋3.10%,N/A,5212,84878
2019/02/01,5230,5230,5100,5160,▼10,－0.19%,N/A,5188,70760
2019/01/31,5290,5290,5150,5170,▼50,－0.96%,N/A,5173,54406
2019/01/30,5300,5330,5190,5220,▼50,－0.95%,N/A,5158,79021
2019/01/29,5350,5350,5220,5270,▼80,－1.50%,N/A,5136,80995
2019/01/28,5340,5440,5290,5350,▲80,＋1.52%,N/A,5102,146475
2019/01/25,5260,5360,5170,5270,▲80,＋1.54%,N/A,5057,202893
2019/01/24,5080,5220,5060,5190,▲110,＋2.17%,N/A,5012,137143
2019/01/23,5110,5140,5040,5080,▼10,－0.20%,N/A,4973,63710
2019/01/22,5080,5170,5000,5090,▲10,＋0.20%,N/A,4940,90285
2019/01/21,5060,5100,4990,5080,▲70,＋1.40%,N/A,4890,89034
2019/01/18,5100,5130,4995,5010,▼10,－0.20%,N/A,4835,92409
2019/01/17,5020,5120,4955,5020,▲20,＋0.40%,N/A,4783,123873
2019/01/16,4940,5050,4880,5000,▲75,＋1.52%,N/A,4741,122677
2019/01/15,4900,4935,4815,4925,▲25,＋0.51%,N/A,4721,70252
2019/01/14,4775,4950,4770,4900,▲80,＋1.66%,N/A,4714,97241
2019/01/11,4850,4855,4790,4820,▲20,＋0.42%,N/A,4702,57728
2019/01/10,4780,4890,4750,4800,▲45,＋0.95%,N/A,4699,121069
2019/01/09,4600,4980,4585,4755,▲170,＋3.71%,N/A,4713,308178
2019/01/08,4510,4590,4510,4585,▲55,＋1.21%,N/A,4736,71450
2019/01/07,4545,4595,4505,4530,▲40,＋0.89%,N/A,4775,128275
2019/01/04,4585,4640,4380,4490,▼115,－2.50%,N/A,4824,132871
2019/01/03,4795,4830,4605,4605,▼190,－3.96%,N/A,4877,106868
2019/01/02,4880,4885,4790,4795,▼60,－1.24%,N/A,4923,41743
2018/12/28,4780,4880,4780,4855,▲75,＋1.57%,N/A,N/A,55717
2018/12/27,4835,4855,4780,4780,▼10,－0.21%,N/A,N/A,76092
2018/12/26,4930,4930,4760,4790,▼150,－3.04%,N/A,N/A,88539
2018/12/24,4985,5030,4925,4940,▼45,－0.90%,N/A,N/A,64599
2018/12/21,5000,5190,4950,4985,▲5,＋0.10%,N/A,N/A,80191
2018/12/20,4990,5070,4935,4980,▼40,－0.80%,N/A,N/A,41835
2018/12/19,5020,5110,4960,5020,0.0,0.00%,N/A,N/A,55570
2018/12/18,5000,5380,5000,5020,▼40,－0.79%,N/A,N/A,169850
2018/12/17,5060,5120,4990,5060,0.0,0.00%,N/A,N/A,54300
