[일시]신영증권우,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2019/05/03,53900,54000,53500,53900,▲100,＋0.19%,N/A,53860,1040
2019/05/02,53800,54000,53600,53800,0.0,0.00%,N/A,53880,584
2019/04/30,53800,54000,53600,53800,0.0,0.00%,N/A,53900,791
2019/04/29,53600,54000,53600,53800,▼100,－0.19%,N/A,53940,636
2019/04/26,53900,53900,53600,53900,▼100,－0.19%,N/A,53980,497
2019/04/25,53800,54000,53600,54000,0.0,0.00%,N/A,53990,521
2019/04/24,53800,54000,53700,54000,▲200,＋0.37%,N/A,53980,1018
2019/04/23,54100,54100,53700,53800,▼100,－0.19%,N/A,53970,535
2019/04/22,54100,54100,53900,53900,▲200,＋0.37%,N/A,53990,236
2019/04/19,54300,54600,53600,53700,▼400,－0.74%,N/A,54000,1068
2019/04/18,53800,54300,53500,54100,▲100,＋0.19%,N/A,54050,1422
2019/04/17,54200,54200,53500,54000,▼200,－0.37%,N/A,54070,3647
2019/04/16,54000,54400,54000,54200,0.0,0.00%,N/A,54100,1161
2019/04/15,54400,54500,54000,54200,▲200,＋0.37%,N/A,54060,907
2019/04/12,53900,54200,53800,54000,▲100,＋0.19%,N/A,54040,713
2019/04/11,54300,54300,53800,53900,0.0,0.00%,N/A,54010,421
2019/04/10,54000,54000,53700,53900,▼100,－0.19%,N/A,54030,1337
2019/04/09,54000,54100,53800,54000,0.0,0.00%,N/A,54260,897
2019/04/08,54200,54200,53700,54000,▼200,－0.37%,N/A,54410,2192
2019/04/05,54500,54500,53900,54200,▼100,－0.18%,N/A,54560,661
2019/04/04,54400,54400,53900,54300,0.0,0.00%,N/A,54740,952
2019/04/03,53800,54500,53800,54300,▲500,＋0.93%,N/A,54910,1812
2019/04/02,53800,54300,53700,53800,▼200,－0.37%,N/A,55080,1818
2019/04/01,53500,54100,53500,54000,▲300,＋0.56%,N/A,55290,1101
2019/03/29,54100,54100,53400,53700,▼400,－0.74%,N/A,55470,1688
2019/03/28,54000,54500,53700,54100,▼2100,－3.74%,N/A,55670,3526
2019/03/27,55600,56500,55500,56200,▲700,＋1.26%,N/A,55830,6258
2019/03/26,55700,55800,55400,55500,0.0,0.00%,N/A,55790,4435
2019/03/25,55900,55900,55500,55500,▼500,－0.89%,N/A,55820,2575
2019/03/22,56000,56100,55800,56000,0.0,0.00%,N/A,55850,1340
2019/03/21,55800,56000,55600,56000,0.0,0.00%,N/A,55820,1707
2019/03/20,55900,56000,55600,56000,▲100,＋0.18%,N/A,55810,655
2019/03/19,55800,56000,55800,55900,▲100,＋0.18%,N/A,55790,2001
2019/03/18,55700,55800,55400,55800,▲100,＋0.18%,N/A,55780,698
2019/03/15,55700,55800,55400,55700,0.0,0.00%,N/A,55780,967
2019/03/14,55800,55800,55300,55700,▼100,－0.18%,N/A,55760,746
2019/03/13,55800,55800,55600,55800,0.0,0.00%,N/A,55760,359
2019/03/12,55500,55800,55400,55800,0.0,0.00%,N/A,55740,619
2019/03/11,55900,55900,55600,55800,▲100,＋0.18%,N/A,55700,559
2019/03/08,55800,55900,55700,55700,▼200,－0.36%,N/A,55660,344
2019/03/07,55900,55900,55700,55900,▲100,＋0.18%,N/A,55630,592
2019/03/06,55800,56000,55700,55800,0.0,0.00%,N/A,55590,1705
2019/03/05,55900,55900,55700,55800,0.0,0.00%,N/A,55570,2295
2019/03/04,55500,55800,55300,55800,▲300,＋0.54%,N/A,55570,1693
2019/02/28,55800,55800,55000,55500,▼200,－0.36%,N/A,55560,1298
2019/02/27,55500,55700,55300,55700,▲100,＋0.18%,N/A,55590,402
2019/02/26,55200,55600,55000,55600,▲200,＋0.36%,N/A,55600,1633
2019/02/25,55500,55700,55300,55400,0.0,0.00%,N/A,55610,719
2019/02/22,55300,55500,55100,55400,0.0,0.00%,N/A,55650,267
2019/02/21,55500,55700,55300,55400,▼100,－0.18%,N/A,55690,1429
2019/02/20,55500,55800,55400,55500,▼100,－0.18%,N/A,55700,542
2019/02/19,55600,55700,55600,55600,▼200,－0.36%,N/A,55670,1146
2019/02/18,55700,55800,55400,55800,▲100,＋0.18%,N/A,55630,624
2019/02/15,55800,55800,55400,55700,▼100,－0.18%,N/A,55570,671
2019/02/14,55800,55900,55600,55800,0.0,0.00%,N/A,55520,518
2019/02/13,55700,55800,55500,55800,▲100,＋0.18%,N/A,55470,735
2019/02/12,55800,55800,55500,55700,▼100,－0.18%,N/A,55460,1198
2019/02/11,55700,55800,55600,55800,0.0,0.00%,N/A,55440,827
2019/02/08,55600,55800,55500,55800,▲300,＋0.54%,N/A,55370,1139
2019/02/07,55200,55700,55200,55500,▲300,＋0.54%,N/A,55300,241
2019/02/01,55100,55400,55000,55200,0.0,0.00%,N/A,55250,160
2019/01/31,55300,55300,54900,55200,0.0,0.00%,N/A,55230,729
2019/01/30,55500,55600,55200,55200,0.0,0.00%,N/A,55210,1261
2019/01/29,55300,55300,55000,55200,▼100,－0.18%,N/A,55170,171
2019/01/28,55800,55800,55000,55300,▼400,－0.72%,N/A,55140,1654
2019/01/25,55500,55700,55100,55700,▲200,＋0.36%,N/A,55100,2183
2019/01/24,55100,55700,55100,55500,▲400,＋0.73%,N/A,55020,3044
2019/01/23,55200,55300,54900,55100,0.0,0.00%,N/A,54960,465
2019/01/22,55400,55400,54800,55100,▲100,＋0.18%,N/A,54940,431
2019/01/21,55300,55300,54600,55000,0.0,0.00%,N/A,54910,592
2019/01/18,55000,55000,54800,55000,0.0,0.00%,N/A,54860,174
2019/01/17,54400,55000,54400,55000,▲200,＋0.36%,N/A,54760,383
2019/01/16,54900,55000,54700,54800,▼100,－0.18%,N/A,54630,323
2019/01/15,55200,55200,54800,54900,0.0,0.00%,N/A,54530,534
2019/01/14,54900,55000,54700,54900,0.0,0.00%,N/A,54440,668
2019/01/11,54900,55400,54600,54900,0.0,0.00%,N/A,54360,1987
2019/01/10,55500,55500,54700,54900,0.0,0.00%,N/A,54300,880
2019/01/09,54700,55300,54700,54900,▲100,＋0.18%,N/A,54270,805
2019/01/08,54800,55100,54600,54800,▲300,＋0.55%,N/A,54270,588
2019/01/07,54000,54500,54000,54500,▲500,＋0.93%,N/A,54290,521
2019/01/04,53700,54000,53200,54000,▲300,＋0.56%,N/A,54340,5620
2019/01/03,53500,54300,53500,53700,▼100,－0.19%,N/A,54420,2368
2019/01/02,54000,54200,53500,53800,▼200,－0.37%,N/A,54510,797
2018/12/28,54100,54400,53900,54000,▼100,－0.18%,N/A,N/A,380
2018/12/27,54300,55400,54000,54100,▼200,－0.37%,N/A,N/A,3702
2018/12/26,54400,54800,54200,54300,▼300,－0.55%,N/A,N/A,1893
2018/12/24,54900,55100,54600,54600,▼300,－0.55%,N/A,N/A,1515
2018/12/21,54800,55500,54800,54900,▼100,－0.18%,N/A,N/A,3342
2018/12/20,55000,55000,54700,55000,0.0,0.00%,N/A,N/A,572
2018/12/19,54500,55000,54500,55000,▲200,＋0.36%,N/A,N/A,1191
2018/12/18,54600,54800,54600,54800,▲200,＋0.37%,N/A,N/A,1427
2018/12/17,54700,54700,54500,54600,0.0,0.00%,N/A,N/A,1007
