[일시]새로닉스,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2019/02/19,4720,4810,4640,4785,▲85,＋1.81%,N/A,4681,30714
2019/02/18,4720,4720,4670,4700,▲15,＋0.32%,N/A,4657,5685
2019/02/15,4745,4745,4610,4685,▲30,＋0.64%,N/A,4638,10614
2019/02/14,4640,4680,4625,4655,▼25,－0.53%,N/A,4625,12301
2019/02/13,4700,4700,4600,4680,▲5,＋0.11%,N/A,4628,41603
2019/02/12,4770,4770,4630,4675,▼15,－0.32%,N/A,4612,2092
2019/02/11,4705,4705,4650,4690,▼15,－0.32%,N/A,4588,4965
2019/02/08,4715,4715,4620,4705,▲55,＋1.18%,N/A,4563,9037
2019/02/07,4645,4700,4575,4650,▲70,＋1.53%,N/A,4534,24669
2019/02/01,4550,4580,4540,4580,▲30,＋0.66%,N/A,4517,15912
2019/01/31,4480,4570,4480,4550,▲45,＋1.00%,N/A,4505,57982
2019/01/30,4560,4630,4500,4505,▼55,－1.21%,N/A,4496,43967
2019/01/29,4780,4780,4545,4560,▼125,－2.67%,N/A,4502,23314
2019/01/28,4520,4700,4520,4685,▲165,＋3.65%,N/A,4494,37470
2019/01/25,4470,4545,4455,4520,▲90,＋2.03%,N/A,4451,26575
2019/01/24,4470,4470,4395,4430,▼10,－0.23%,N/A,4436,20867
2019/01/23,4450,4450,4385,4440,▲20,＋0.45%,N/A,4410,9333
2019/01/22,4435,4520,4420,4420,▼55,－1.23%,N/A,4382,32754
2019/01/21,4425,4565,4425,4475,▲10,＋0.22%,N/A,4340,30582
2019/01/18,4455,4465,4370,4465,▲10,＋0.22%,N/A,4293,13904
2019/01/17,4630,4630,4290,4455,▼110,－2.41%,N/A,4240,95768
2019/01/16,4480,4595,4445,4565,▲85,＋1.90%,N/A,4188,15754
2019/01/15,4260,4580,4255,4480,▲220,＋5.16%,N/A,4138,41165
2019/01/14,4320,4445,4225,4260,▼105,－2.41%,N/A,4100,43638
2019/01/11,4275,4365,4170,4365,▲195,＋4.68%,N/A,4080,19751
2019/01/10,4160,4280,4105,4170,▲10,＋0.24%,N/A,4042,21330
2019/01/09,4085,4275,3985,4160,▲155,＋3.87%,N/A,4029,27639
2019/01/08,4090,4090,3990,4005,▲5,＋0.13%,N/A,4017,14624
2019/01/07,3935,4125,3935,4000,▲65,＋1.65%,N/A,4021,10108
2019/01/04,3935,3950,3895,3935,0.0,0.00%,N/A,4027,8327
2019/01/03,4010,4080,3935,3935,▼130,－3.20%,N/A,4036,28594
2019/01/02,4100,4140,3995,4065,▼35,－0.85%,N/A,4045,5945
2018/12/28,4060,4180,4025,4100,▲40,＋0.99%,N/A,N/A,9391
2018/12/27,4025,4160,3990,4060,▲75,＋1.88%,N/A,N/A,4708
2018/12/26,4030,4175,3920,3985,▼55,－1.36%,N/A,N/A,19168
2018/12/24,4040,4090,3965,4040,0.0,0.00%,N/A,N/A,3095
2018/12/21,3985,4050,3985,4040,▼10,－0.25%,N/A,N/A,12287
2018/12/20,4040,4100,3960,4050,▼10,－0.25%,N/A,N/A,13293
2018/12/19,4020,4060,4005,4060,▲40,＋1.00%,N/A,N/A,14134
2018/12/18,4040,4040,3975,4020,▼5,－0.12%,N/A,N/A,8415
2018/12/17,4245,4245,3950,4025,0.0,0.00%,N/A,N/A,61243
