[일시]한양증권,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2019/05/03,7230,7270,7190,7270,▲90,＋1.25%,N/A,7227,6732
2019/05/02,7180,7220,7130,7180,▲30,＋0.42%,N/A,7214,13899
2019/04/30,7270,7280,7120,7150,▼40,－0.56%,N/A,7211,11067
2019/04/29,7270,7300,7150,7190,▼60,－0.83%,N/A,7202,5239
2019/04/26,7200,7260,7120,7250,▼20,－0.28%,N/A,7190,15202
2019/04/25,7270,7300,7170,7270,0.0,0.00%,N/A,7160,7497
2019/04/24,7290,7310,7150,7270,0.0,0.00%,N/A,7127,34138
2019/04/23,7200,7280,7190,7270,▲70,＋0.97%,N/A,7090,13876
2019/04/22,7220,7280,7160,7200,▼20,－0.28%,N/A,7053,13451
2019/04/19,7110,7230,7110,7220,▲80,＋1.12%,N/A,7022,9090
2019/04/18,7220,7220,7100,7140,▼10,－0.14%,N/A,6988,20003
2019/04/17,7060,7220,7020,7150,▲90,＋1.27%,N/A,6969,43895
2019/04/16,7070,7070,7000,7060,▼10,－0.14%,N/A,6947,6832
2019/04/15,6950,7090,6940,7070,▲120,＋1.73%,N/A,6931,28253
2019/04/12,6940,6970,6920,6950,▲10,＋0.14%,N/A,6907,8156
2019/04/11,6900,6940,6890,6940,▲40,＋0.58%,N/A,6891,12319
2019/04/10,6930,6930,6850,6900,0.0,0.00%,N/A,6877,6970
2019/04/09,6890,6930,6880,6900,▲10,＋0.15%,N/A,6864,9195
2019/04/08,6880,6950,6860,6890,▲10,＋0.15%,N/A,6857,10237
2019/04/05,6950,6950,6830,6880,▼70,－1.01%,N/A,6848,16672
2019/04/04,6930,6960,6910,6950,▲20,＋0.29%,N/A,6841,13041
2019/04/03,6900,6940,6860,6930,▲30,＋0.43%,N/A,6827,23837
2019/04/02,6810,6910,6810,6900,▲70,＋1.02%,N/A,6820,11759
2019/04/01,6820,6840,6780,6830,▲40,＋0.59%,N/A,6812,13067
2019/03/29,6760,6820,6760,6790,▼10,－0.15%,N/A,6816,7438
2019/03/28,6810,6820,6770,6800,▲30,＋0.44%,N/A,6824,4492
2019/03/27,6850,6850,6770,6770,▼60,－0.88%,N/A,6825,7769
2019/03/26,6800,6870,6790,6830,▲30,＋0.44%,N/A,6833,6989
2019/03/25,6810,6820,6710,6800,▼10,－0.15%,N/A,6835,26449
2019/03/22,6820,6860,6760,6810,0.0,0.00%,N/A,6837,5022
2019/03/21,6860,6890,6790,6810,▼50,－0.73%,N/A,6844,5548
2019/03/20,6880,6880,6770,6860,▲40,＋0.59%,N/A,6852,10452
2019/03/19,6870,6910,6820,6820,▼50,－0.73%,N/A,6860,4707
2019/03/18,6870,6880,6810,6870,0.0,0.00%,N/A,6868,4988
2019/03/15,6810,6900,6790,6870,▲60,＋0.88%,N/A,6868,16718
2019/03/14,6850,6950,6780,6810,▼40,－0.58%,N/A,6868,11461
2019/03/13,6850,6850,6780,6850,0.0,0.00%,N/A,6875,5667
2019/03/12,6820,6880,6780,6850,▲30,＋0.44%,N/A,6885,11043
2019/03/11,6880,6880,6760,6820,▼60,－0.87%,N/A,6895,11367
2019/03/08,6880,6920,6770,6880,▼10,－0.15%,N/A,6912,7408
2019/03/07,6940,6940,6800,6890,▼50,－0.72%,N/A,6922,9261
2019/03/06,6900,6940,6800,6940,▲40,＋0.58%,N/A,6933,11295
2019/03/05,6900,6940,6800,6900,▲30,＋0.44%,N/A,6936,9611
2019/03/04,6960,6960,6830,6870,0.0,0.00%,N/A,6953,14241
2019/02/28,6920,6980,6870,6870,▼10,－0.15%,N/A,6964,13157
2019/02/27,6890,6930,6840,6880,▼70,－1.01%,N/A,6976,14805
2019/02/26,6960,6960,6860,6950,0.0,0.00%,N/A,6987,16088
2019/02/25,6990,6990,6880,6950,▼40,－0.57%,N/A,7001,22073
2019/02/22,6980,7000,6920,6990,▲10,＋0.14%,N/A,7010,8040
2019/02/21,7000,7010,6940,6980,▼20,－0.29%,N/A,7011,2071
2019/02/20,6960,7050,6930,7000,▲30,＋0.43%,N/A,7016,3432
2019/02/19,7020,7020,6870,6970,▼100,－1.41%,N/A,7009,21445
2019/02/18,6960,7080,6930,7070,▲90,＋1.29%,N/A,7021,11486
2019/02/15,6990,7040,6920,6980,▼10,－0.14%,N/A,7017,6907
2019/02/14,6990,7080,6910,6990,0.0,0.00%,N/A,7013,5714
2019/02/13,7080,7090,6930,6990,▼100,－1.41%,N/A,7008,6405
2019/02/12,7000,7100,6900,7090,▲50,＋0.71%,N/A,7005,11428
2019/02/11,7010,7090,7000,7040,▲40,＋0.57%,N/A,6982,7892
2019/02/08,6980,7080,6980,7000,▼30,－0.43%,N/A,6958,11991
2019/02/07,6940,7100,6930,7030,▲100,＋1.44%,N/A,6934,16811
2019/02/01,7090,7090,6930,6930,▼160,－2.26%,N/A,6911,14024
2019/01/31,7040,7090,6920,7090,▲60,＋0.85%,N/A,6899,20383
2019/01/30,7000,7030,6950,7030,▲90,＋1.30%,N/A,6866,13188
2019/01/29,6940,6970,6900,6940,0.0,0.00%,N/A,6838,7242
2019/01/28,6960,6990,6900,6940,▼20,－0.29%,N/A,6812,7669
2019/01/25,6870,6980,6870,6960,▲100,＋1.46%,N/A,6786,5029
2019/01/24,6860,6930,6800,6860,▲60,＋0.88%,N/A,6760,11932
2019/01/23,6750,6850,6750,6800,▲40,＋0.59%,N/A,6741,7257
2019/01/22,6800,6810,6750,6760,▼40,－0.59%,N/A,6731,8258
2019/01/21,6810,6850,6740,6800,▼10,－0.15%,N/A,6723,6185
2019/01/18,6760,6850,6760,6810,▲50,＋0.74%,N/A,6711,9082
2019/01/17,6750,6840,6740,6760,▲10,＋0.15%,N/A,6698,5162
2019/01/16,6720,6800,6700,6750,▲70,＋1.05%,N/A,6690,15955
2019/01/15,6730,6750,6670,6680,0.0,0.00%,N/A,6688,10440
2019/01/14,6710,6710,6640,6680,▼20,－0.30%,N/A,6703,4865
2019/01/11,6700,6710,6650,6700,▲30,＋0.45%,N/A,6710,5354
2019/01/10,6710,6710,6610,6670,▼30,－0.45%,N/A,6732,6334
2019/01/09,6730,6730,6630,6700,▲20,＋0.30%,N/A,6760,9045
2019/01/08,6770,6770,6630,6680,0.0,0.00%,N/A,6783,9531
2019/01/07,6740,6840,6650,6680,0.0,0.00%,N/A,6814,11261
2019/01/04,6750,6750,6600,6680,0.0,0.00%,N/A,6846,12543
2019/01/03,6790,6790,6610,6680,▼50,－0.74%,N/A,6881,12023
2019/01/02,6800,6800,6650,6730,▼100,－1.46%,N/A,6920,6116
2018/12/28,6800,6870,6690,6830,▲80,＋1.19%,N/A,N/A,3160
2018/12/27,6930,6930,6690,6750,▼170,－2.46%,N/A,N/A,9970
2018/12/26,6880,7020,6850,6920,▼30,－0.43%,N/A,N/A,12039
2018/12/24,6900,6980,6900,6950,▲20,＋0.29%,N/A,N/A,9243
2018/12/21,6990,6990,6900,6930,▼60,－0.86%,N/A,N/A,10741
2018/12/20,7010,7020,6920,6990,▼10,－0.14%,N/A,N/A,7911
2018/12/19,6970,7030,6970,7000,▼30,－0.43%,N/A,N/A,2515
2018/12/18,7070,7070,6940,7030,▼40,－0.57%,N/A,N/A,9879
2018/12/17,7050,7100,6970,7070,0.0,0.00%,N/A,N/A,5103
