[일시]이화산업,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2019-04-24,18950,19250,18950,19150,▲100,0.52%,N/A,19105,464
2019-04-23,19200,19550,19000,19050,▼200,-1.04%,N/A,19100,441
2019-04-22,19450,19450,18850,19250,0,0.00%,N/A,19100,614
2019-04-19,18800,19350,18800,19250,▲250,1.32%,N/A,19115,611
2019-04-18,19100,19200,18650,19000,▼50,-0.26%,N/A,19095,727
2019-04-17,19200,19250,19000,19050,▼50,-0.26%,N/A,19110,884
2019-04-16,18800,19100,18750,19100,▲100,0.53%,N/A,19145,1309
2019-04-15,19100,19300,18600,19000,▼100,-0.52%,N/A,19170,2735
2019-04-12,19450,19450,18900,19100,0,0.00%,N/A,19220,622
2019-04-11,19300,19700,18850,19100,0,0.00%,N/A,19250,3326
2019-04-10,18950,19200,17900,19100,▲50,0.26%,N/A,19280,5648
2019-04-09,18800,19300,18800,19050,▼350,-1.80%,N/A,19275,1732
2019-04-08,19050,20900,18800,19400,▲350,1.84%,N/A,19255,5464
2019-04-05,19150,19150,18750,19050,▼100,-0.52%,N/A,19270,720
2019-04-04,19300,19300,18700,19150,▼250,-1.29%,N/A,19335,3651
2019-04-03,19350,19500,19000,19400,▲50,0.26%,N/A,19445,686
2019-04-02,19450,19450,19100,19350,▼150,-0.77%,N/A,19550,309
2019-04-01,19300,19750,18950,19500,▲100,0.52%,N/A,19570,958
2019-03-29,19300,19400,18800,19400,0,0.00%,N/A,19595,3289
2019-03-28,19550,19550,18700,19400,▲350,1.84%,N/A,19640,42
2019-03-27,19200,19200,18900,19050,▲200,1.06%,N/A,19720,228
2019-03-26,19150,19500,18850,18850,▼700,-3.58%,N/A,19785,2611
2019-03-25,19300,19600,19150,19550,▼150,-0.76%,N/A,19870,4757
2019-03-22,20250,20700,19600,19700,▼550,-2.72%,N/A,19890,535
2019-03-21,20900,20900,19700,20250,▼200,-0.98%,N/A,19920,1739
2019-03-20,19650,20950,19550,20450,▲900,4.60%,N/A,19875,1815
2019-03-19,19600,20300,19550,19550,▼200,-1.01%,N/A,19800,683
2019-03-18,20000,20300,19700,19750,▼100,-0.50%,N/A,19865,180
2019-03-15,20500,20500,19600,19850,▼350,-1.73%,N/A,19965,1132
2019-03-14,19700,20500,19700,20200,▲500,2.54%,N/A,19955,635
2019-03-13,19800,19850,19600,19700,0,0.00%,N/A,20090,533
2019-03-12,19900,19900,19550,19700,▼50,-0.25%,N/A,20350,2909
2019-03-11,20000,20000,19600,19750,▼250,-1.25%,N/A,20540,4322
2019-03-08,20000,20150,19600,20000,▲200,1.01%,N/A,20705,20
2019-03-07,19700,20300,19700,19800,▲100,0.51%,N/A,20855,709
2019-03-06,20500,20500,19450,19700,▼500,-2.48%,N/A,21040,5305
2019-03-05,20500,20950,19900,20200,▼550,-2.65%,N/A,21235,2216
2019-03-04,19950,20900,19950,20750,▲1000,5.06%,N/A,21320,369
2019-02-28,21300,21300,19750,19750,▼1800,-8.35%,N/A,21345,7592
2019-02-27,22300,22800,21550,21550,▼750,-3.36%,N/A,21460,2434
2019-02-26,21450,22450,21450,22300,▲700,3.24%,N/A,21395,363
2019-02-25,21600,22350,21100,21600,▲200,0.93%,N/A,21255,1727
2019-02-22,21500,22900,21000,21400,▼100,-0.47%,N/A,21135,1495
2019-02-21,21900,22250,21350,21500,▼150,-0.69%,N/A,21005,1601
2019-02-20,21450,23000,21450,21650,0,0.00%,N/A,20865,1830
2019-02-19,21050,21900,21050,21650,▲600,2.85%,N/A,20685,1278
2019-02-18,20900,22750,20750,21050,▲50,0.24%,N/A,20540,1909
2019-02-15,20850,21100,20350,21000,▲100,0.48%,N/A,20440,2043
2019-02-14,21800,24850,20550,20900,0,0.00%,N/A,20365,23413
2019-02-13,20900,21550,20650,20900,0,0.00%,N/A,20315,1917
2019-02-12,20800,21050,20500,20900,▲500,2.45%,N/A,20285,964
2019-02-11,20200,20550,20200,20400,▲300,1.49%,N/A,20210,846
2019-02-08,19600,20100,19600,20100,0,0.00%,N/A,20200,474
2019-02-07,20150,20150,19550,20100,▲250,1.26%,N/A,20200,161
2019-02-01,20400,20400,19700,19850,▼350,-1.73%,N/A,20230,556
2019-01-31,20600,20600,19700,20200,▲150,0.75%,N/A,20250,90
2019-01-30,20100,20600,19950,20050,▼200,-0.99%,N/A,20240,642
2019-01-29,20300,20300,20100,20250,▼150,-0.74%,N/A,20205,56
2019-01-28,20500,21050,20350,20400,▼200,-0.97%,N/A,20180,231
2019-01-25,20050,20600,19850,20600,▲450,2.23%,N/A,20140,448
2019-01-24,21000,21350,20050,20150,▼150,-0.74%,N/A,20060,2627
2019-01-23,20100,20400,20100,20300,▲200,1.00%,N/A,20020,44
2019-01-22,20300,22000,20100,20100,▼300,-1.47%,N/A,19975,568
2019-01-21,19800,20400,19800,20400,▲350,1.75%,N/A,19900,366
2019-01-18,20100,20600,19900,20050,▼50,-0.25%,N/A,19770,338
2019-01-17,19700,20100,19700,20100,▲400,2.03%,N/A,19680,125
2019-01-16,20200,20200,19500,19700,▼300,-1.50%,N/A,19595,2564
2019-01-15,19600,20000,19600,20000,0,0.00%,N/A,19545,58
2019-01-14,19800,20050,19550,20000,▲200,1.01%,N/A,19440,77
2019-01-11,19750,19950,19750,19800,▲50,0.25%,N/A,19350,109
2019-01-10,20200,20200,19600,19750,▼100,-0.50%,N/A,19235,123
2019-01-09,19300,19850,19050,19850,▲500,2.58%,N/A,19170,993
2019-01-08,19400,19400,19000,19350,▲250,1.31%,N/A,19190,29
2019-01-07,19150,19800,18800,19100,▼50,-0.26%,N/A,19265,138
2019-01-04,19100,19200,18700,19150,▼100,-0.52%,N/A,19340,41
2019-01-03,19500,19500,18950,19250,▲50,0.26%,N/A,19410,163
2019-01-02,19450,19450,19000,19200,▲250,1.32%,N/A,19450,401
2018-12-28,18300,19400,18300,18950,▼150,-0.79%,N/A,N/A,685
2018-12-27,18650,19450,18500,19100,▲450,2.41%,N/A,N/A,338
2018-12-26,19100,19200,18650,18650,▼450,-2.36%,N/A,N/A,209
2018-12-24,20050,20100,19100,19100,▼950,-4.74%,N/A,N/A,847
2018-12-21,19850,20500,19550,20050,▼50,-0.25%,N/A,N/A,351
2018-12-20,19850,20700,19850,20100,▲250,1.26%,N/A,N/A,72
2018-12-19,19850,20350,19800,19850,0,0.00%,N/A,N/A,209
2018-12-18,23050,23550,19850,19850,▲200,1.02%,N/A,N/A,8139
2018-12-17,20100,20250,19500,19650,0,0.00%,N/A,N/A,406
