[일시]케이비아이동국실업,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2019/02/21,934,934,902,922,▼7,－0.75%,N/A,948,246007
2019/02/20,940,947,914,929,▼8,－0.85%,N/A,953,254888
2019/02/19,952,952,935,937,▼3,－0.32%,N/A,956,40390
2019/02/18,935,949,934,940,▲5,＋0.53%,N/A,962,99274
2019/02/15,959,959,930,935,▼21,－2.20%,N/A,969,232644
2019/02/14,959,960,947,956,▼3,－0.31%,N/A,974,77261
2019/02/13,965,965,948,959,▼4,－0.42%,N/A,980,132174
2019/02/12,965,980,963,963,▼12,－1.23%,N/A,986,107276
2019/02/11,960,975,945,975,▲8,＋0.83%,N/A,991,433425
2019/02/08,970,975,955,967,▼3,－0.31%,N/A,996,98028
2019/02/07,960,975,951,970,▲10,＋1.04%,N/A,999,86567
2019/02/01,999,999,951,960,▼39,－3.90%,N/A,996,286424
2019/01/31,1010,1010,972,999,▼6,－0.60%,N/A,992,294135
2019/01/30,990,1025,990,1005,▲18,＋1.82%,N/A,981,263376
2019/01/29,1010,1030,982,987,▼23,－2.28%,N/A,966,522775
2019/01/28,1030,1055,1010,1010,▼10,－0.98%,N/A,953,391478
2019/01/25,1010,1030,1005,1020,0.0,0.00%,N/A,937,260964
2019/01/24,1030,1035,998,1020,▼5,－0.49%,N/A,920,330799
2019/01/23,996,1030,982,1025,▲35,＋3.54%,N/A,902,803781
2019/01/22,950,1020,950,990,▲50,＋5.32%,N/A,883,2066591
2019/01/21,925,964,921,940,▲20,＋2.17%,N/A,867,409113
2019/01/18,886,955,886,920,▲29,＋3.25%,N/A,857,1257343
2019/01/17,864,1025,863,891,▲31,＋3.60%,N/A,847,3896162
2019/01/16,859,943,854,860,▲7,＋0.82%,N/A,840,1110401
2019/01/15,859,867,845,853,▼2,－0.23%,N/A,836,45436
2019/01/14,875,875,843,855,▲13,＋1.54%,N/A,834,91222
2019/01/11,848,849,837,842,0.0,0.00%,N/A,830,55576
2019/01/10,836,847,831,842,▲6,＋0.72%,N/A,827,58602
2019/01/09,850,850,830,836,▲2,＋0.24%,N/A,825,193579
2019/01/08,833,842,826,834,▲1,＋0.12%,N/A,827,57054
2019/01/07,827,839,823,833,▲9,＋1.09%,N/A,829,27198
2019/01/04,820,825,802,824,▲4,＋0.49%,N/A,833,98245
2019/01/03,806,829,806,820,▲3,＋0.37%,N/A,836,43612
2019/01/02,836,839,815,817,▼19,－2.27%,N/A,838,77479
2018/12/28,839,839,815,836,▲22,＋2.70%,N/A,N/A,82893
2018/12/27,814,823,810,814,▲4,＋0.49%,N/A,N/A,108244
2018/12/26,812,825,791,810,▼18,－2.17%,N/A,N/A,192290
2018/12/24,846,857,826,828,▼30,－3.50%,N/A,N/A,175165
2018/12/21,850,864,842,858,▲8,＋0.94%,N/A,N/A,70479
2018/12/20,875,889,827,850,▼25,－2.86%,N/A,N/A,298362
2018/12/19,845,900,845,875,▲25,＋2.94%,N/A,N/A,751626
2018/12/18,835,850,829,850,▲9,＋1.07%,N/A,N/A,165476
2018/12/17,829,858,829,841,0.0,0.00%,N/A,N/A,125768
