[일시]미래테크놀로지,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2019/02/25,8720,8770,8610,8720,▲80,＋0.93%,N/A,8678,3633
2019/02/22,8950,9090,8610,8640,▼310,－3.46%,N/A,8642,14017
2019/02/21,8750,8960,8610,8950,▲340,＋3.95%,N/A,8618,21571
2019/02/20,8620,8780,8600,8610,▼20,－0.23%,N/A,8563,8608
2019/02/19,8640,8640,8510,8630,▼30,－0.35%,N/A,8536,788
2019/02/18,8560,8750,8550,8660,▲110,＋1.29%,N/A,8502,1571
2019/02/15,8730,8820,8480,8550,▼120,－1.38%,N/A,8471,3601
2019/02/14,8630,8800,8570,8670,▲90,＋1.05%,N/A,8452,5846
2019/02/13,8740,8770,8580,8580,▼190,－2.17%,N/A,8427,5175
2019/02/12,8330,8800,8330,8770,▲410,＋4.90%,N/A,8411,17773
2019/02/11,8360,8440,8340,8360,▼40,－0.48%,N/A,8366,3158
2019/02/08,8400,8400,8330,8400,0.0,0.00%,N/A,8359,5856
2019/02/07,8340,8430,8270,8400,▲60,＋0.72%,N/A,8352,1268
2019/02/01,8460,8460,8290,8340,▲50,＋0.60%,N/A,8356,2559
2019/01/31,8460,8460,8280,8290,▼60,－0.72%,N/A,8366,945
2019/01/30,8360,8440,8300,8350,▼10,－0.12%,N/A,8371,2055
2019/01/29,8420,8420,8320,8360,▼60,－0.71%,N/A,8364,1743
2019/01/28,8390,8460,8280,8420,0.0,0.00%,N/A,8348,2375
2019/01/25,8310,8440,8300,8420,▲100,＋1.20%,N/A,8338,2479
2019/01/24,8430,8430,8270,8320,▲30,＋0.36%,N/A,8318,3263
2019/01/23,8310,8440,8260,8290,▼40,－0.48%,N/A,8307,2217
2019/01/22,8440,8460,8320,8330,▼110,－1.30%,N/A,8309,1899
2019/01/21,8390,8450,8280,8440,0.0,0.00%,N/A,8297,2638
2019/01/18,8210,8460,8210,8440,▲100,＋1.20%,N/A,8282,5772
2019/01/17,8370,8370,8250,8340,▲60,＋0.72%,N/A,8278,2772
2019/01/16,8450,8450,8240,8280,▲80,＋0.98%,N/A,8269,956
2019/01/15,8410,8410,8180,8200,▼120,－1.44%,N/A,8273,5327
2019/01/14,8460,8460,8300,8320,▲100,＋1.22%,N/A,8291,976
2019/01/11,8260,8300,8150,8220,▲10,＋0.12%,N/A,8278,630
2019/01/10,8230,8380,8150,8210,▼100,－1.20%,N/A,8289,2209
2019/01/09,8290,8310,8160,8310,▲100,＋1.22%,N/A,8314,3426
2019/01/08,8290,8540,8150,8210,▼80,－0.97%,N/A,8336,5398
2019/01/07,8390,8490,8120,8290,▼110,－1.31%,N/A,8392,5255
2019/01/04,8530,8560,8100,8400,▲150,＋1.82%,N/A,8452,4564
2019/01/03,8300,8400,8150,8250,▼70,－0.84%,N/A,8466,2269
2019/01/02,8390,8550,8320,8320,▼60,－0.72%,N/A,8481,4955
2018/12/28,8190,8390,8140,8380,▲190,＋2.32%,N/A,N/A,6431
2018/12/27,8330,8330,7710,8190,▼140,－1.68%,N/A,N/A,6100
2018/12/26,8300,8440,8300,8330,▼130,－1.54%,N/A,N/A,4567
2018/12/24,8530,8530,8380,8460,▼70,－0.82%,N/A,N/A,1420
2018/12/21,8520,8760,8520,8530,▼240,－2.74%,N/A,N/A,2276
2018/12/20,8990,8990,8760,8770,▼120,－1.35%,N/A,N/A,4227
2018/12/19,8520,9050,8520,8890,▲350,＋4.10%,N/A,N/A,20348
2018/12/18,8170,8640,8170,8540,▲140,＋1.67%,N/A,N/A,7962
2018/12/17,8700,8700,8300,8400,0.0,0.00%,N/A,N/A,5611
