[일시]신영증권,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2019/01/07,58400,59400,58400,58900,▲500,＋0.86%,N/A,59040,1000
2019/01/04,58800,59000,58400,58400,▼500,－0.85%,N/A,59090,3489
2019/01/03,58300,59500,58300,58900,▲600,＋1.03%,N/A,59200,1778
2019/01/02,59000,59000,58000,58300,▼700,－1.19%,N/A,59230,670
2018/12/28,58600,59300,58500,59000,▲200,＋0.34%,N/A,N/A,1198
2018/12/27,59800,59800,58700,58800,▼500,－0.84%,N/A,N/A,1353
2018/12/26,59600,59700,59000,59300,▼300,－0.50%,N/A,N/A,3256
2018/12/24,59900,59900,59400,59600,▼400,－0.67%,N/A,N/A,2673
2018/12/21,59000,60000,58900,60000,▲800,＋1.35%,N/A,N/A,4604
2018/12/20,59400,59500,59100,59200,▼200,－0.34%,N/A,N/A,1085
2018/12/19,59500,59900,59000,59400,▼100,－0.17%,N/A,N/A,3064
2018/12/18,59200,59800,58900,59500,▲300,＋0.51%,N/A,N/A,2080
2018/12/17,60000,60400,58700,59200,0.0,0.00%,N/A,N/A,6718
