[일시]대상우,시가,고가,저가,종가,대비,대비율,<가격이동평균>120,10,[거래량]
2019/03/11,13000,13350,13000,13350,▲350,＋2.69%,N/A,13260,5098
2019/03/08,13100,13100,12850,13000,▼100,－0.76%,N/A,13230,7790
2019/03/07,13300,13450,13100,13100,▼300,－2.24%,N/A,13240,5498
2019/03/06,13400,13500,13350,13400,0.0,0.00%,N/A,13230,642
2019/03/05,13500,13500,13250,13400,▼100,－0.74%,N/A,13200,2930
2019/03/04,13300,13600,13300,13500,▲250,＋1.89%,N/A,13180,3693
2019/02/28,13100,13650,13100,13250,0.0,0.00%,N/A,13150,9477
2019/02/27,13000,13300,13000,13250,▲50,＋0.38%,N/A,13115,1122
2019/02/26,13150,13200,13000,13200,▲50,＋0.38%,N/A,13090,845
2019/02/25,13050,13500,13050,13150,▲100,＋0.77%,N/A,13070,1018
2019/02/22,13050,13150,13000,13050,▼50,－0.38%,N/A,13080,469
2019/02/21,13200,13200,13000,13100,▲100,＋0.77%,N/A,13080,76
2019/02/20,13100,13150,12900,13000,▼100,－0.76%,N/A,13055,2254
2019/02/19,13350,13350,13100,13100,▼100,－0.76%,N/A,13035,1137
2019/02/18,13300,13350,13100,13200,0.0,0.00%,N/A,13000,5801
2019/02/15,12850,13300,12850,13200,▲300,＋2.33%,N/A,12940,9043
2019/02/14,12900,13000,12800,12900,▼100,－0.77%,N/A,12870,3008
2019/02/13,13200,13200,12950,13000,0.0,0.00%,N/A,12835,608
2019/02/12,13300,13300,12900,13000,▼250,－1.89%,N/A,12805,885
2019/02/11,13050,13350,12950,13250,▲200,＋1.53%,N/A,12775,6324
2019/02/08,12950,13100,12900,13050,▲200,＋1.56%,N/A,12715,7535
2019/02/07,12800,12850,12650,12850,▲50,＋0.39%,N/A,12660,5827
2019/02/01,12750,12800,12700,12800,▲50,＋0.39%,N/A,12625,2493
2019/01/31,12600,12750,12600,12750,▲150,＋1.19%,N/A,12595,1109
2019/01/30,12500,12600,12500,12600,▲100,＋0.80%,N/A,12560,4530
2019/01/29,12550,12550,12500,12500,▼50,－0.40%,N/A,12550,3352
2019/01/28,12700,12700,12400,12550,▼150,－1.18%,N/A,12555,3915
2019/01/25,12700,12750,12600,12700,0.0,0.00%,N/A,12555,1967
2019/01/24,12600,12700,12600,12700,▲50,＋0.40%,N/A,12530,1022
2019/01/23,12500,12700,12500,12650,▲150,＋1.20%,N/A,12515,2896
2019/01/22,12400,12550,12400,12500,0.0,0.00%,N/A,12500,347
2019/01/21,12550,12600,12500,12500,0.0,0.00%,N/A,12495,2420
2019/01/18,12500,12550,12350,12500,▲100,＋0.81%,N/A,12490,688
2019/01/17,12500,12650,12400,12400,▼100,－0.80%,N/A,12500,503
2019/01/16,12500,12600,12400,12500,▼50,－0.40%,N/A,12475,800
2019/01/15,12600,12600,12500,12550,0.0,0.00%,N/A,12445,1252
2019/01/14,12550,12600,12450,12550,▲100,＋0.80%,N/A,12425,854
2019/01/11,12450,12600,12400,12450,▼100,－0.80%,N/A,12395,228
2019/01/10,12550,12600,12400,12550,▲50,＋0.40%,N/A,12415,776
2019/01/09,12450,12600,12450,12500,▲50,＋0.40%,N/A,12435,3018
2019/01/08,12450,12450,12300,12450,0.0,0.00%,N/A,12460,997
2019/01/07,12600,12700,12450,12450,▼150,－1.19%,N/A,12485,260
2019/01/04,12400,12600,12350,12600,▲450,＋3.70%,N/A,12525,1042
2019/01/03,12100,12450,12100,12150,▼50,－0.41%,N/A,12545,352
2019/01/02,12450,12500,12000,12200,▼150,－1.21%,N/A,12620,1179
2018/12/28,12250,12450,12250,12350,▲100,＋0.82%,N/A,N/A,991
2018/12/27,12300,12450,12250,12250,▼400,－3.16%,N/A,N/A,1082
2018/12/26,12600,12750,12550,12650,▼100,－0.78%,N/A,N/A,3932
2018/12/24,12750,12800,12600,12750,0.0,0.00%,N/A,N/A,24312
2018/12/21,12700,12800,12650,12750,▲50,＋0.39%,N/A,N/A,500
2018/12/20,12950,12950,12700,12700,▼150,－1.17%,N/A,N/A,1595
2018/12/19,12800,12850,12750,12850,▲50,＋0.39%,N/A,N/A,1084
2018/12/18,12600,12900,12600,12800,▼100,－0.78%,N/A,N/A,817
2018/12/17,12950,12950,12700,12900,0.0,0.00%,N/A,N/A,2146
